user_id,len_0,len_1,len_2,len_3,time_0,time_1,time_2,time_3,easy,medium,hard,Tags
1,0,0,1,0,0,1,0,0,0,1,0,"Historic site, Historic site"
2,0,1,0,0,0,0,1,0,1,0,0,"Fishing, Muddy"
3,1,0,0,0,0,0,0,1,1,0,0,"Dogs on leash, Muddy"
4,0,1,0,0,0,1,0,0,0,0,1,Waterfall
5,0,1,0,0,1,0,0,0,0,0,1,"Hiking, City walk"
6,0,0,1,0,0,1,0,0,0,1,0,Horseback riding
7,0,1,0,0,0,0,1,0,0,1,0,"Rock climbing, Mountain biking, Scramble"
8,0,1,0,0,0,0,1,0,0,1,0,"Bugs, Historic site, Views"
9,0,0,0,1,1,0,0,0,0,0,1,Backpacking
10,0,0,1,0,0,0,1,0,0,0,1,Washed out
11,0,0,0,1,0,1,0,0,0,0,1,Washed out
12,0,0,1,0,0,0,1,0,0,1,0,Paved
13,0,1,0,0,0,0,0,1,0,0,1,"Scenic driving, Stroller friendly"
14,0,0,0,1,0,0,1,0,1,0,0,"No dogs, Lake"
15,0,1,0,0,1,0,0,0,0,1,0,Dogs on leash
16,0,0,1,0,0,1,0,0,0,0,1,Stroller friendly
17,0,0,0,1,0,0,1,0,0,0,1,Dog friendly
18,0,1,0,0,0,1,0,0,0,0,1,"No shade, Rock climbing"
19,1,0,0,0,0,0,0,1,0,0,1,Snowshoeing
20,0,1,0,0,0,0,1,0,1,0,0,"Wildflowers, Snowshoeing"
21,0,1,0,0,0,0,1,0,1,0,0,Forest
22,0,1,0,0,0,1,0,0,0,0,1,"Dog friendly, Wheelchair friendly"
23,0,0,1,0,0,0,1,0,1,0,0,"Scenic driving, Horseback riding, Walking"
24,1,0,0,0,0,0,1,0,1,0,0,Pub walk
25,0,0,1,0,0,0,0,1,0,1,0,"Bridge out, Mountain biking, Pub walk"
26,0,1,0,0,0,1,0,0,0,1,0,"Stroller friendly, Bugs, Off trail"
27,0,0,1,0,0,1,0,0,0,1,0,Bike touring
28,0,0,0,1,1,0,0,0,0,1,0,"Muddy, Bridge out, Road biking, Running"
